t,tx_x,tx_y,rx_x,rx_y,relay_available
33,-3708.22217729301,219.338650222391,-3610.6259968974,236.105350133702,0
33.2,-3703.86377357449,220.028840362931,-3606.38430202791,237.005275748346,0
33.4,-3699.50536985596,220.71903050347,-3602.14761139998,237.911989302642,0
33.6,-3695.14696613744,221.40922064401,-3597.91433986403,238.817971121413,0
33.8,-3690.78856241892,222.099410784549,-3593.68447845738,239.723223122802,0
34,-3686.43015870039,222.789600925088,-3589.45801784341,240.627747304983,0
34.2,-3682.07175498187,223.479791065628,-3585.23494831255,241.531545745945,0
34.4,-3677.71335126335,224.169981206167,-3581.01525978338,242.43462060326,0
34.6,-3673.35494754482,224.860171346706,-3576.79894180369,243.336974113852,0
34.8,-3668.9965438263,225.550361487246,-3572.58598355166,244.238608593747,0
35,-3664.63814010778,226.240551627785,-3568.37637383706,245.139526437822,0
35.2,-3660.28269222178,226.949114101952,-3564.17010110242,246.039730119539,0
35.4,-3655.92778692305,227.661044685096,-3559.97198657611,246.961149321182,0
35.6,-3651.57293273601,228.373287911356,-3555.78365881417,247.911230883623,0
35.8,-3647.21807854897,229.085531137616,-3551.60444232382,248.88586771278,0
36,-3642.86322436193,229.797774363875,-3547.42850156704,249.859749945453,0
36.2,-3638.51369672435,230.540345562895,-3543.25582118438,250.83287181762,0
36.4,-3634.17676836608,231.35465374717,-3539.08638749919,251.805236518849,0
36.6,-3629.84962121168,232.219278337875,-3534.96846719436,252.958232700711,0
36.8,-3625.52346886973,233.089020436415,-3530.92226426828,254.318174366044,0
37,-3621.19731652778,233.958762534956,-3527.00491006117,256.020883555734,0
37.2,-3616.87116418583,234.828504633497,-3523.09055848285,257.722287628917,0
37.4,-3612.54760678829,235.711021892964,-3519.17919499216,259.422392906026,0
37.6,-3608.22763306277,236.610776035919,-3515.27080472025,261.121205849926,0
37.8,-3603.91263104577,237.534249369052,-3511.36650483388,262.821335790017,0
38,-3599.59762902877,238.457722702185,-3507.48868315479,264.572405329031,0
38.2,-3595.28262701177,239.381196035318,-3503.63487221515,266.368979168505,0
38.4,-3590.96762499477,240.304669368451,-3499.78393762744,268.164212107058,0
38.6,-3586.65262297777,241.228142701583,-3495.93586310298,269.958111738171,0
38.8,-3582.33762096076,242.151616034716,-3492.09063203944,271.750685801532,0
39,-3578.02261894376,243.075089367849,-3488.24822752267,273.541942182197,0
39.2,-3573.70761692676,243.998562700982,-3484.40863232858,275.331888909717,0
39.4,-3569.39261490976,244.922036034115,-3480.57182892497,277.120534157263,0
39.6,-3565.07761289276,245.845509367248,-3476.73779947352,278.907886240728,0
39.8,-3560.7653023283,246.781193331063,-3472.90652583171,280.693953617815,0
40,-3556.46191807466,247.757374343598,-3469.0779895548,282.47874488711,0
40.2,-3552.16357493081,248.755470912784,-3465.25217189787,284.262268787136,0
40.4,-3547.86617739846,249.757678402605,-3461.43269137565,286.052315265825,0
40.6,-3543.5687798661,250.759885892426,-3457.61928063352,287.84831195211,0
40.8,-3539.27138233375,251.762093382247,-3453.81178826433,289.649985093313,0
41,-3535.0213838735,252.9423740128,-3450.0069294614,291.450412053266,0
41.2,-3530.84634599462,254.35117284803,-3446.20468406485,293.249602371457,0
41.4,-3526.79939362711,256.110212909784,-3442.40615208751,295.0499183351,0
41.6,-3522.7524412596,257.869252971539,-3438.61812339223,296.865669858314,0
41.8,-3518.7054888921,259.628293033294,-3434.9632640328,298.921476958132,0
42,-3514.65868150275,261.387666326274,-3431.37685992408,301.097855865112,0
42.2,-3510.61294252574,263.149495357034,-3427.79282817061,303.272795128427,0
42.4,-3506.60097106386,264.986239931849,-3424.21114811164,305.446307285891,0
42.6,-3502.60150010185,266.850717721402,-3420.6317988285,307.618405031813,0
42.8,-3498.60202913983,268.715195510955,-3417.05475914694,309.789101215611,0
43,-3494.60255817782,270.579673300508,-3413.5016240088,311.9935459003,0
43.2,-3490.6030872158,272.444151090061,-3409.95935857868,314.210491758049,0
43.4,-3486.60361625379,274.308628879614,-3406.42612269424,316.436898528847,0
43.6,-3482.60414529178,276.173106669167,-3402.89508617074,318.66191941083,0
43.8,-3478.60467432976,278.03758445872,-3399.36622682367,320.885568383178,0
44,-3474.60520336775,279.902062248273,-3395.83952222978,323.107859575516,0
44.2,-3470.60573240573,281.766540037826,-3392.31494972951,325.328807266364,0
44.4,-3466.60626144372,283.631017827379,-3388.7924864295,327.548425881573,0
44.6,-3462.60924696296,285.500750256168,-3385.27210920509,329.766729992742,0
44.8,-3458.61529372863,287.377006991325,-3381.75379470287,331.98373431562,0
45,-3454.62659710691,289.264424450097,-3378.2375193432,334.199453708492,0
45.2,-3450.6379004852,291.15184190887,-3374.72329330076,336.413957068283,0
45.4,-3446.64920386349,293.039259367642,-3371.21191704497,338.628567393873,0
45.6,-3442.66101869614,294.927750719685,-3367.70917776107,340.852451201768,0
45.8,-3438.68183036357,296.835132594858,-3364.21360038181,343.083337474207,0
46,-3434.8400206766,298.996266143268,-3360.71993395791,345.31300417013,0
46.2,-3431.06758358039,301.285537590435,-3357.22815369834,347.541467111234,0
46.4,-3427.29514648417,303.574809037603,-3353.73823460524,349.768742251219,0
46.6,-3423.52270938795,305.86408048477,-3350.25015147665,351.994845674043,0
46.8,-3419.75027229173,308.153351931937,-3346.83695603871,354.328285455009,0
47,-3415.9808129695,310.447463702701,-3343.47315078589,356.730604870527,0
47.2,-3412.23652550613,312.782491924253,-3340.14577483336,359.179747574147,0
47.4,-3408.50008037934,315.130030382058,-3336.82005474131,361.627671467907,0
47.6,-3404.76674355461,317.482527259172,-3333.49596549702,364.074394962638,0
47.8,-3401.03340672988,319.835024136286,-3330.17348190888,366.519936600812,0
48,-3397.30006990515,322.187521013399,-3326.87425130449,368.993375714606,0
48.2,-3393.56673308042,324.540017890513,-3323.59507460529,371.490097100827,0
48.4,-3389.83339625568,326.892514767627,-3320.35151606617,374.03000828085,0
48.6,-3386.10005943095,329.24501164474,-3317.1094270397,376.568768739678,0
48.8,-3382.36672260622,331.597508521854,-3313.86878206481,379.106398414907,0
49,-3378.63338578149,333.950005398967,-3310.62955552214,381.642917368138,0
49.2,-3374.90004895675,336.302502276081,-3307.39172163673,384.178345782776,0
49.4,-3371.16764981032,338.656486553714,-3304.15525448093,386.712703961814,0
49.6,-3367.44283795963,341.022429932708,-3300.92012797721,389.246012325609,0
49.8,-3363.7231024125,343.396374511489,-3297.68631590102,391.778291409642,0
50,-3360.00336686537,345.77031909027,-3294.45379188364,394.309561862267,0
50.2,-3356.28363131823,348.144263669051,-3291.22252941516,396.839844442445,0
50.4,-3352.5638957711,350.518208247832,-3287.99250184726,399.369160017469,0
50.6,-3348.84905125229,352.899414151436,-3284.76368239626,401.897529560674,0
50.8,-3345.25123876548,355.45436830239,-3281.53604414594,404.424974149139,0
51,-3341.68207260684,358.048942839068,-3278.3095600506,406.951514961374,0
51.2,-3338.12826162207,360.664754928704,-3275.08420293793,409.477173274998,0
51.4,-3334.57445063731,363.280567018339,-3271.85994551206,412.001970464407,0
51.6,-3331.02063965254,365.896379107973,-3268.63676035653,414.525927998428,0
51.8,-3327.48278113951,368.533581677858,-3265.72127702859,417.324708956815,1
52,-3323.96636164811,371.199355898011,-3263.55537489251,420.795547132555,1
52.2,-3320.4920937108,373.91992710706,-3262.93919429315,424.804453784094,1
52.4,-3317.01782577349,376.640498316109,-3262.4823941215,428.867570296632,1
52.6,-3313.54355783618,379.361069525158,-3262.02572641122,432.929508600395,1
52.8,-3310.06928989887,382.081640734208,-3261.56918717827,436.990304132409,1
53,-3306.59502196156,384.802211943257,-3261.55349038997,441.040638900935,1
53.2,-3303.12075402425,387.522783152306,-3262.18157190725,445.07624150624,0
53.4,-3299.64648608694,390.243354361356,-3263.7187981072,448.85318565544,0
53.6,-3296.17221814963,392.963925570405,-3265.30011283198,452.616600457144,0
53.8,-3292.69795021231,395.684496779454,-3266.88105185925,456.379121125903,0
54,-3289.223682275,398.405067988503,-3268.46162927307,460.140781180786,0
54.2,-3285.74941433769,401.125639197553,-3270.04185919717,463.901614235239,0
54.4,-3282.27514640038,403.846210406602,-3271.62175579338,467.661653993397,0
54.6,-3278.80087846307,406.566781615651,-3273.20133326009,471.420934246391,0
54.8,-3275.32661052576,409.287352824701,-3274.78060583067,475.179488868637,0
55,-3271.85234258845,412.00792403375,-3276.35958777194,478.937351814127,0
55.2,-3268.37807465114,414.728495242799,-3277.9382933826,482.694557112702,0
55.4,-3265.37780323455,417.875122540543,-3279.51673699162,486.451138866323,1
55.6,-3263.28772537762,421.704362119576,-3281.09493295673,490.207131245327,1
55.8,-3262.79472720254,426.089450283239,-3282.67289566281,493.962568484685,1
56,-3262.30172902745,430.474538446901,-3284.25063952031,497.717484880245,1
56.2,-3261.80873085236,434.859626610564,-3285.8281789637,501.471914784969,1
56.4,-3261.31573267728,439.244714774227,-3287.40552844983,505.225892605172,1
56.6,-3261.95272277959,443.605820692351,-3288.98270245643,508.979452796742,1
56.8,-3263.27000482638,447.785090070501,-3290.55971548043,512.732629861367,0
57,-3264.97937634714,451.853270795069,-3292.14151361707,516.483381951568,0
57.2,-3266.6887478679,455.921451519638,-3293.72553780605,520.232824361521,0
57.4,-3268.39811938866,459.989632244206,-3295.31223281586,523.980809024458,0
57.6,-3270.10749090942,464.057812968774,-3296.89882433416,527.728549226669,0
57.8,-3271.81686243018,468.125993693343,-3298.48532702334,531.476079602714,0
58,-3273.52623395093,472.194174417911,-3300.07175555557,535.223434810162,0
58.2,-3275.23560547169,476.26235514248,-3301.69270616671,538.95579322267,0
58.4,-3276.94497699245,480.330535867048,-3303.37052194708,542.662079494713,0
58.6,-3278.65434851321,484.398716591617,-3305.13783112437,546.327217948228,0
58.8,-3280.36372003397,488.466897316186,-3306.90512314084,549.992320812734,0
59,-3282.07309155473,492.535078040754,-3308.67241437027,553.657422045023,0
59.2,-3283.78246307549,496.603258765323,-3310.43972118651,557.322555602066,0
59.4,-3285.49183459625,500.671439489891,-3312.20705996171,560.987755437288,0
59.6,-3287.20120611701,504.73962021446,-3313.98097763527,564.649885274565,0
59.8,-3288.91057763776,508.807800939028,-3315.76770495861,568.305962315555,0
60,-3290.61994915852,512.875981663597,-3317.55647097346,571.961249957271,0
60.2,-3292.33492154488,516.941804201452,-3319.34573105912,575.61654557079,0
60.4,-3294.05299316096,521.006317465367,-3321.13510626773,579.272076370026,0
60.6,-3295.77329103438,525.069889862956,-3322.92461312326,582.927876111939,0
60.8,-3297.4935889078,529.133462260544,-3324.71426813523,586.583978523997,0
61,-3299.21388678122,533.197034658133,-3326.50408779693,590.240417300476,0
61.2,-3300.9507044594,537.253510115664,-3328.29408858359,593.897226098767,0
61.4,-3302.71392245519,541.298643945717,-3330.08428695057,597.554438535682,0
61.6,-3304.6298377271,545.273714600646,-3331.87469933157,601.212088183771,0
61.8,-3306.54644202509,549.248469104844,-3333.66534213681,604.87020856764,0
62,-3308.46304632308,553.223223609043,-3335.45623175126,608.528833160271,0
62.2,-3310.37965062108,557.197978113241,-3337.24738453282,612.187995379354,0
62.4,-3312.29625491907,561.17273261744,-3339.03881681051,615.847728583625,0
62.6,-3314.22198987031,565.143054706534,-3340.83054488272,619.508066069201,0
62.8,-3316.15961661905,569.107603561575,-3342.62258501541,623.169041065937,0
63,-3318.09967370871,573.070963738573,-3344.41495344029,626.830686733773,0
63.2,-3320.03973079836,577.034323915571,-3346.2076663531,630.493036159108,0
63.4,-3321.97978788802,580.997684092569,-3348.00073991178,634.156122351161,0
63.6,-3323.91984497767,584.961044269567,-3349.13108794149,638.056270110138,0
63.8,-3325.85990206733,588.924404446565,-3350.0360802426,642.034595349969,0
64,-3327.79995915698,592.887764623563,-3350.87828561537,646.027823957826,0
64.2,-3329.74001624664,596.851124800561,-3351.72069041565,650.021998130275,0
64.4,-3331.68007333629,600.814484977559,-3352.56330212671,654.017153348588,0
64.6,-3333.62013042595,604.777845154557,-3353.40612820918,658.01332498646,0
64.8,-3335.5601875156,608.741205331555,-3353.0468422988,662.026254797903,0
65,-3337.50024460526,612.704565508553,-3352.15530902911,666.006704134814,0
65.2,-3339.44030169491,616.667925685551,-3350.90205016039,669.897245738036,0
65.4,-3341.38035878456,620.631285862549,-3349.64842880992,673.78891260784,0
65.6,-3343.32041587422,624.594646039547,-3348.39443407974,677.681738575192,0
65.8,-3345.26047296387,628.558006216545,-3347.14005511285,681.575757343947,0
66,-3347.20053005353,632.521366393543,-3345.83865586751,685.455595526115,0
66.2,-3348.79301028816,636.608583155712,-3344.50247328721,689.324899047501,0
66.4,-3349.79650913429,640.905679322841,-3343.11324094044,693.177091355494,0
66.6,-3350.70856136333,645.223094184542,-3341.72353589087,697.03059441763,0
66.8,-3351.61920628293,649.540821738956,-3340.33334637214,700.885440860809,0
67,-3352.52985120252,653.858549293371,-3338.94266067098,704.741663164618,0
67.2,-3353.44049612212,658.176276847785,-3337.55146712858,708.599293657761,0
67.4,-3352.9575410969,662.512209468098,-3336.15975414177,712.45836451452,0
67.6,-3351.90372121969,666.787718228446,-3334.76751016438,716.318907751226,0
67.8,-3350.55072150776,670.987889318207,-3333.37472370844,720.180955222746,0
68,-3349.19772179583,675.188060407968,-3331.9813833455,724.044538618989,0
68.2,-3347.84472208391,679.388231497728,-3330.58747770783,727.909689461436,0
68.4,-3346.47331573639,683.582320251022,-3329.1929954897,731.776439099678,0
68.6,-3345.05735898765,687.761687654044,-3327.79792544859,735.644818707979,0
68.8,-3343.56822589587,691.915466869385,-3326.40225640647,739.51485928186,0
69,-3342.07122337404,696.066494314892,-3325.00597725097,743.386591634699,0
69.2,-3340.57422085221,700.217521760399,-3323.60907693664,747.260046394348,0
69.4,-3339.07721833037,704.368549205906,-3322.21154448615,751.135253999782,0
69.6,-3337.58021580854,708.519576651413,-3320.81336899149,755.012244697753,0
69.8,-3336.0832132867,712.670604096921,-3319.22410334867,758.807990701027,0
70,-3334.58621076487,716.821631542428,-3317.33221239685,762.473881047087,0
70.2,-3333.08920824303,720.972658987935,-3314.94154772569,765.833559591105,0
70.4,-3331.5922057212,725.123686433442,-3312.50361835945,769.166370269731,0
70.6,-3330.09520319936,729.274713878949,-3310.06447685895,772.500838016056,0
70.8,-3328.59820067753,733.425741324457,-3307.62410500788,775.836987732971,0
71,-3327.10119815569,737.576768769964,-3304.97687870889,779.00093227295,0
71.2,-3325.60419563386,741.727796215471,-3302.08530408642,781.959610638131,0
71.4,-3324.10719311203,745.878823660978,-3298.56044437381,784.130764572941,0
71.6,-3322.61019059019,750.029851106485,-3295.03370720352,786.30307493665,0
71.8,-3321.11318806836,754.180878551992,-3291.50506730619,788.476557294041,0
72,-3319.49669623335,758.279791322842,-3287.97449962109,790.651227081376,0
72.2,-3317.47298946666,762.201099309495,-3284.44194471079,792.827043449216,0
72.4,-3314.95425946537,765.816181802263,-3280.90725505791,795.003821897745,0
72.6,-3312.34900369886,769.377738736358,-3277.36921095437,797.179635281369,0
72.8,-3309.74374793235,772.939295670454,-3273.82914007646,799.356695083265,0
73,-3307.13849216584,776.500852604549,-3270.28701843702,801.535016054962,0
73.2,-3304.2092961724,779.78840467037,-3266.74282227379,803.71461280969,0
73.4,-3300.91483042647,782.6805693995,-3263.196528052,805.895499820774,0
73.6,-3297.15766217263,784.994814873973,-3259.64811246697,808.077691420047,0
73.8,-3293.4004939188,787.309060348446,-3256.09755244662,810.261201796279,0
74,-3289.64332566497,789.623305822919,-3252.54482515406,812.446044993623,0
74.2,-3285.88614781448,791.937535716775,-3248.98990799007,814.632234910072,0
74.4,-3282.12891454287,794.25167563182,-3245.43277859554,816.819785295936,0
74.6,-3278.37048662594,796.563874442004,-3241.873414854,819.008709752334,0
74.8,-3274.61167716063,798.875453297945,-3238.23551210737,821.055872985605,0
75,-3270.85286769532,801.187032153886,-3234.42878580288,822.791905062735,0
75.2,-3267.09405823002,803.498611009827,-3230.3893865704,823.856223414614,0
75.4,-3263.33524876471,805.810189865768,-3226.31180614589,824.817326958554,0
75.6,-3259.5764392994,808.121768721708,-3222.23155053243,825.779061056234,0
75.8,-3255.81762983409,810.433347577649,-3218.14859617886,826.741431258765,0
76,-3252.05882036878,812.74492643359,-3214.03405725436,827.557651285347,0
76.2,-3248.30001090347,815.056505289531,-3209.88525989785,828.167452377894,0
76.4,-3244.54120143816,817.368084145472,-3205.73697275056,827.48963501835,0
76.6,-3240.78239197285,819.679663001412,-3201.58585670553,826.811355425617,0
76.8,-3236.85952652955,821.683382007712,-3197.4318894088,826.132609947128,0
77,-3232.7696181101,823.295192428085,-3193.27504881913,825.453394981408,0
77.2,-3228.47459965952,824.307547065982,-3189.11531321031,824.773706978467,0
77.4,-3224.17958120893,825.31990170388,-3184.95266117365,824.093542440186,0
77.6,-3219.88456275835,826.332256341777,-3180.78707162025,823.412897920706,0
77.8,-3215.58327070482,827.312704151797,-3176.61852378335,822.731770026803,0
78,-3211.22470024411,828.001840526394,-3172.44699722061,822.050155418259,0
78.2,-3206.86874863142,827.674563715888,-3168.27247181632,821.368050808232,0
78.4,-3202.51378721717,826.962976416862,-3164.09492778365,820.685452963611,0
78.6,-3198.15882580292,826.251389117836,-3159.91434566678,820.002358705377,0
78.8,-3193.80386438867,825.53980181881,-3155.73070634305,819.318764908948,0
79,-3189.44890297442,824.828214519785,-3151.54399102506,818.634668504518,0
79.2,-3185.09394156017,824.116627220759,-3147.35418126274,817.950066477404,0
79.4,-3180.73898014592,823.405039921733,-3143.16125894535,817.264955868364,0
79.6,-3176.38401873168,822.693452622707,-3138.96520630346,816.579333773932,0
