t,n_sat,dop,sigma_pos,dt_upd
55.8,10.4185952286638,1.69477262423489,1.49477262423489,0.301658036775318
56,10.4158869326052,1.69626218706716,1.49626218706716,0.301962720081918
56.2,10.413121725719,1.69778305085452,1.49778305085452,0.302273805856607
56.4,10.4103003060494,1.69933483167284,1.49933483167284,0.302591215569445
56.6,10.4074233902405,1.70091713536771,1.50091713536771,0.302914868597941
56.8,10.4044917133362,1.70252955766508,1.50252955766508,0.303244682249675
57,10.4015060285723,1.70417168428522,1.50417168428522,0.303580571785612
57.2,10.3984671071635,1.70584309106007,1.50584309106007,0.303922450444106
57.4,10.3953757380838,1.7075433440539,1.5075433440539,0.304270229465571
57.6,10.3922327278415,1.70927199968715,1.50927199968715,0.304623818117827
57.8,10.389038900248,1.71102860486362,1.51102860486362,0.304983123722104
58,10.3857950961804,1.71281269710077,1.51281269710077,0.305348051679703
58.2,10.3825021733396,1.71462380466321,1.51462380466321,0.305718505499292
58.4,10.3791610060013,1.71646144669928,1.51646144669928,0.306094386824854
58.6,10.3757724847623,1.71832513338075,1.51832513338075,0.306475595464245
58.8,10.372337516281,1.72021436604544,1.52021436604544,0.306862029418386
59,10.3688570230128,1.72212863734295,1.52212863734295,0.307253584911058
59.2,10.3653319429396,1.72406743138321,1.52406743138321,0.307650156419292
59.4,10.3617632292945,1.72603022388801,1.52603022388801,0.308051636704366
59.6,10.3581518502812,1.72801648234535,1.52801648234535,0.308457916843367
59.8,10.3544987887881,1.73002566616652,1.53002566616652,0.308868886261334
60,10.3508050420981,1.73205722684603,1.53205722684603,0.309284432763962
60.2,10.3470716215924,1.73411060812416,1.53411060812416,0.309704442570851
60.4,10.3432995524506,1.73618524615217,1.53618524615217,0.310128800349307
60.6,10.3394898733452,1.73828056966013,1.53828056966013,0.310557389248664
60.8,10.3356436361322,1.7403960001273,1.5403960001273,0.310990090935129
61,10.3317619055366,1.74253095195489,1.54253095195489,0.311426785627137
61.2,10.3278457588338,1.74468483264144,1.54468483264144,0.311867352131203
61.4,10.3238962855266,1.74685704296036,1.54685704296036,0.312311667878255
61.6,10.3199145870182,1.74904697714,1.54904697714,0.312759608960455
61.8,10.3159017762803,1.75125402304583,1.55125402304583,0.313211050168466
62,10.3118589775184,1.75347756236491,1.55347756236491,0.313665865029185
62.2,10.3077873258319,1.75571697079245,1.55571697079245,0.31412392584391
62.4,10.3036879668717,1.75797161822054,1.55797161822054,0.314585103726929
62.6,10.299562056493,1.76024086892884,1.56024086892884,0.315049268644536
62.8,10.295410760405,1.76252408177726,1.56252408177726,0.31551628945444
63,10.2912352538172,1.76482061040056,1.56482061040056,0.315986033945568
63.2,10.2870367210823,1.76712980340476,1.56712980340476,0.316458368878247
63.4,10.2828163553356,1.76945100456543,1.56945100456543,0.316933160024746
63.6,10.2785753581317,1.77178355302755,1.57178355302755,0.31741027221018
63.8,10.2743149390779,1.77412678350717,1.57412678350717,0.317889569353739
64,10.2700363154644,1.77648002649459,1.57648002649459,0.318370914510257
64.2,10.2657407118926,1.77884260845907,1.57884260845907,0.318854169912082
64.4,10.2614293599,1.78121385205502,1.58121385205502,0.319339197011254
64.6,10.2571034975826,1.7835930763296,1.5835930763296,0.319825856521963
64.8,10.2527643692153,1.78597959693161,1.58597959693161,0.320314008463284
65,10.2484132248696,1.7883727263217,1.5883727263217,0.320803512202166
65.2,10.2440513200296,1.79077177398371,1.59077177398371,0.321294226496669
65.4,10.2396799152051,1.79317604663721,1.59317604663721,0.321786009539429
65.6,10.2353002755436,1.79558484845103,1.59558484845103,0.322278719001346
65.8,10.2309136704403,1.79799748125785,1.59799748125785,0.32277221207547
66,10.226521373146,1.80041324476969,1.60041324476969,0.323266345521073
66.2,10.2221246603742,1.80283143679421,1.60283143679421,0.323760975707907
66.4,10.2177248119057,1.80525135345187,1.60525135345187,0.324255958660611
66.6,10.2133231101931,1.80767228939377,1.60767228939377,0.324751150103271
66.8,10.2089208399634,1.81009353802011,1.61009353802011,0.325246405504113
67,10.2045192878195,1.81251439169927,1.61251439169927,0.325741580120306
67.2,10.2001197418411,1.8149341419874,1.6149341419874,0.326236529042877
67.4,10.1957234911848,1.81735207984837,1.61735207984837,0.326731107241712
67.6,10.1913318256833,1.81976749587419,1.61976749587419,0.327225169610629
67.8,10.1869460354443,1.82217968050564,1.62217968050564,0.327718571012516
68,10.1825674104488,1.82458792425315,1.62458792425315,0.328211166324507
68.2,10.1781972401494,1.82699151791785,1.62699151791785,0.328702810483196
68.4,10.1738368130679,1.82938975281267,1.62938975281267,0.329193358529865
68.6,10.1694874163937,1.83178192098346,1.63178192098346,0.329682665655708
68.8,10.1651503355817,1.83416731543004,1.63416731543004,0.330170587247055
69,10.1608268539506,1.83654523032714,1.63654523032714,0.330656978930552
69.2,10.1565182522816,1.83891496124509,1.63891496124509,0.331141696618314
69.4,10.1522258084177,1.84127580537028,1.64127580537028,0.331624596553012
69.6,10.1479507968632,1.84362706172523,1.64362706172523,0.332105535352887
69.8,10.143694488385,1.84596803138827,1.64596803138827,0.332584370056691
70,10.1394581496132,1.84829801771273,1.64829801771273,0.333060958168512
70.2,10.1352430426445,1.85061632654552,1.65061632654552,0.333535157702493
70.4,10.1310504246452,1.85292226644516,1.65292226644516,0.334006827227419
70.6,10.1268815474563,1.85521514889902,1.65521514889902,0.334475825911164
70.8,10.1227376572003,1.85749428853986,1.65749428853986,0.334942013564971
71,10.1186199938883,1.85975900336145,1.65975900336145,0.335405250687569
71.2,10.1145297910303,1.86200861493336,1.66200861493336,0.335865398509096
71.4,10.110468275246,1.86424244861472,1.66424244861472,0.336322319034829
71.6,10.1064366658784,1.8664598337669,1.6664598337669,0.336775875088684
71.8,10.1024361746088,1.86866010396515,1.66866010396515,0.337225930356507
72,10.0984680050747,1.87084259720894,1.67084259720894,0.337672349429101
72.2,10.0945333524888,1.87300665613116,1.67300665613116,0.33811499784501
72.4,10.090633403262,1.8751516282059,1.6751516282059,0.338553742133026
