t,tx_x,tx_y,rx_x,rx_y,relay_available
50,-495.384118302973,-116.223323217352,-442.067734232299,-133.018045976055,0
50.2,-491.172359179343,-117.573648513478,-438.000593563685,-134.293995141228,0
50.4,-486.959050057796,-118.919124111972,-433.935031203241,-135.571039837549,0
50.6,-482.743397737764,-120.257218868901,-429.870847502477,-136.848602937397,0
50.8,-478.52327148911,-121.581162888208,-425.808003016708,-138.126617717198,0
51,-474.303145240456,-122.905106907516,-421.746230846506,-139.404295187721,0
51.2,-470.083018991802,-124.229050926824,-417.685513737717,-140.681640776459,0
51.4,-465.862892743148,-125.552994946132,-413.625834320492,-141.958659947299,0
51.6,-461.642766494494,-126.876938965439,-409.572275657907,-143.251455447338,0
51.8,-457.42264024584,-128.200882984747,-405.525807404762,-144.562743526848,0
52,-453.202513997187,-129.524827004055,-401.486008031563,-145.891264760184,0
52.2,-448.982387748533,-130.848771023363,-397.447171729522,-147.219469279654,0
52.4,-444.762261499879,-132.17271504267,-393.409280653638,-148.547362953731,0
52.6,-440.542135251225,-133.496659061978,-389.372316855256,-149.874951684979,0
52.8,-436.322093943657,-134.820873600893,-385.336262284037,-151.202241409401,0
53,-432.102621249268,-136.146899053946,-381.306860298537,-152.546583847945,0
53.2,-427.883415257455,-137.473772764076,-377.280531519238,-153.89726375903,0
53.4,-423.664302651318,-138.800943490688,-373.25505587836,-155.247658598693,0
53.6,-419.445190045182,-140.1281142173,-369.230414636111,-156.597773529171,0
53.8,-415.226077439045,-141.455284943912,-365.206589300194,-157.947614753931,0
54,-411.010160992538,-142.792542701409,-361.183561288841,-159.297188506454,0
54.2,-406.798824332221,-144.144101445326,-357.161311932844,-160.646501049553,0
54.4,-402.597259659443,-145.525820527232,-353.139822477609,-161.995558674684,0
54.6,-398.395694986666,-146.907539609139,-349.119074085211,-163.34436770126,0
54.8,-394.194130313888,-148.289258691045,-345.099047836457,-164.692934475953,0
55,-389.99256564111,-149.670977772952,-341.079724732966,-166.041265372003,0
55.2,-385.791000968332,-151.052696854858,-337.061085699245,-167.389366788515,0
55.4,-381.594628764151,-152.450048521828,-333.043111584789,-168.73724514976,0
55.6,-377.401356081466,-153.856731687818,-329.025783166175,-170.08490690447,0
55.8,-373.208083771275,-155.2634159642,-325.009081149172,-171.432358525128,0
56,-369.014811461083,-156.670100240583,-320.992986170858,-172.779606507264,0
56.2,-364.821539150892,-158.076784516965,-316.977478801742,-174.126657368737,0
56.4,-360.628266840701,-159.483468793347,-312.962539547895,-175.473517649022,0
56.6,-356.434994530509,-160.890153069729,-308.948148853088,-176.820193908495,0
