Config,Profile,Vegetation,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,CI_Lower,CI_Upper,P_Value,Significant
FG_curved_sparse,curved,sparse,PosDeg_Emerg,LossRate,0.00909090909090905,0.00428549564355484,0.00363636363636363,0.00635641726163728,-0.00545454545454542,-0.00726377930401535,-0.0036453116050755,0.00023862762935134,***
FG_curved_sparse,curved,sparse,PosDeg_Emerg,AvgDelay,0.013196998946144,0.000226640263061016,0.0133307014156333,0.000268147805970408,0.00013370246948931,7.24393255626109e-05,0.000194965613416009,0.00781961978161494,**
FG_curved_sparse,curved,sparse,PosDeg_Emerg,AvgTxCost,2.28409090909091,0,2.59294545454545,0.03591337910721,0.308854545454543,0.295013805993471,0.322695284915615,0,***
FG_curved_sparse,curved,sparse,PosDeg_Emerg,EmgTimely,0.994339622641509,0.00911407342527643,0.99622641509434,0.00795541549727899,0.0018867924528302,-0.000412674401995288,0.00418625930765569,0.317310527664727,n.s.
FG_straight_dense,straight,dense,PosDeg_Emerg,TimelyRate,0.990909090909091,0.00857099128710958,0.999090909090909,0.00287479787288033,0.00818181818181811,0.00469777052461423,0.011665865839022,0.0042099750338136,**
FG_straight_dense,straight,dense,PosDeg_Emerg,LossRate,0.00909090909090906,0.00857099128710965,0.000909090909090904,0.00287479787288033,-0.00818181818181815,-0.0116658658390221,-0.00469777052461425,0.0042099750338136,**
FG_straight_dense,straight,dense,PosDeg_Emerg,AvgDelay,0.012843043846841,0.000264685773716502,0.0130192285281905,0.000293944666464342,0.00017618468134953,7.7459176329738e-05,0.000274910186369322,0.0296365636630369,*
FG_straight_dense,straight,dense,PosDeg_Emerg,AvgTxCost,2.215,0,2.46950909090909,0.0160710200656459,0.254509090909088,0.248315443663079,0.260702738155098,0,***
FG_straight_dense,straight,dense,PosDeg_Emerg,EmgTimely,0.986046511627907,0.0224672507692859,0.997674418604651,0.00735413409341471,0.0116279069767441,0.00291781429848715,0.020337999655001,0.103741661088662,n.s.
FG_straight_medium,straight,medium,PosDeg_Emerg,TimelyRate,0.999090909090909,0.00287479787288033,1,0,0.000909090909090904,-0.000198834030052272,0.00201701584823408,0.317310527664727,n.s.
FG_straight_medium,straight,medium,PosDeg_Emerg,LossRate,0.000909090909090904,0.00287479787288033,0,0,-0.000909090909090904,-0.00201701584823408,0.000198834030052273,0.317310527664727,n.s.
FG_straight_medium,straight,medium,PosDeg_Emerg,AvgDelay,0.0122518281534433,0.000179611776111046,0.0122970722255088,0.000133647473153595,4.52440720654597e-05,-4.5484068322318e-06,9.50365509631512e-05,0.268125039571885,n.s.
FG_straight_medium,straight,medium,PosDeg_Emerg,AvgTxCost,2.215,0,2.45178181818181,0.0089311415427263,0.236781818181814,0.233339825079081,0.240223811284546,0,***
FG_straight_medium,straight,medium,PosDeg_Emerg,EmgTimely,0.997674418604651,0.00735413409341471,1,0,0.0023255813953488,-0.000508645193156971,0.00515980798385456,0.317310527664727,n.s.
FG_straight_sparse,straight,sparse,PosDeg_Emerg,TimelyRate,0.999090909090909,0.00287479787288033,1,0,0.000909090909090904,-0.000198834030052272,0.00201701584823408,0.317310527664727,n.s.
FG_straight_sparse,straight,sparse,PosDeg_Emerg,LossRate,0.000909090909090904,0.00287479787288033,0,0,-0.000909090909090904,-0.00201701584823408,0.000198834030052273,0.317310527664727,n.s.
FG_straight_sparse,straight,sparse,PosDeg_Emerg,AvgDelay,0.0121446499942962,0.000192511298594515,0.0121752825840498,0.000141656180873383,3.06325897536701e-05,-6.69988139882622e-06,6.79650609061664e-05,0.317310527664727,n.s.
FG_straight_sparse,straight,sparse,PosDeg_Emerg,AvgTxCost,2.215,0,2.44918181818181,0.00435352363541067,0.234181818181814,0.232504003732902,0.235859632630726,0,***
FG_straight_sparse,straight,sparse,PosDeg_Emerg,EmgTimely,0.997674418604651,0.00735413409341471,1,0,0.0023255813953488,-0.000508645193156971,0.00515980798385456,0.317310527664727,n.s.
