Seed,Baseline,Metric,BaselineValue,V6Value,Delta
13,Link-delay-aware,LossRate,0.339434276206323,0.314475873544093,-0.02495840266223
13,Link-delay-aware,AvgDelay_s,0.0399130747854496,0.0407350341006181,0.0008219593151685
13,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
14,Confidence-heuristic,TimelyRate,0.610648918469218,0.602329450915141,-0.00831946755407698
14,Confidence-heuristic,EmergencyTimelyRate,0.571428571428571,0.562271062271062,-0.0091575091575089
14,Confidence-heuristic,LossRate,0.341098169717138,0.334442595673877,-0.006655574043261
14,Confidence-heuristic,AvgDelay_s,0.0404810422037921,0.0409990395542865,0.000517997350494397
14,Confidence-heuristic,AvgTxCost,3.30881863560732,3.32149750415973,0.0126788685524097
14,Link-delay-aware,TimelyRate,0.612312811980033,0.602329450915141,-0.00998336106489195
14,Link-delay-aware,EmergencyTimelyRate,0.573260073260073,0.562271062271062,-0.0109890109890109
14,Link-delay-aware,LossRate,0.357737104825291,0.334442595673877,-0.023294509151414
14,Link-delay-aware,AvgDelay_s,0.0399771362363886,0.0409990395542865,0.0010219033178979
14,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
15,Confidence-heuristic,TimelyRate,0.638935108153078,0.632279534109817,-0.006655574043261
15,Confidence-heuristic,EmergencyTimelyRate,0.602564102564103,0.595238095238095,-0.00732600732600797
15,Confidence-heuristic,LossRate,0.307820299500832,0.317803660565724,0.009983361064892
15,Confidence-heuristic,AvgDelay_s,0.0403884282850135,0.0403953509003467,6.92261533320054e-06
15,Confidence-heuristic,AvgTxCost,3.40545757071548,3.32149750415973,-0.0839600665557501
15,Link-delay-aware,TimelyRate,0.638935108153078,0.632279534109817,-0.006655574043261
15,Link-delay-aware,EmergencyTimelyRate,0.602564102564103,0.595238095238095,-0.00732600732600797
15,Link-delay-aware,LossRate,0.339434276206323,0.317803660565724,-0.021630615640599
15,Link-delay-aware,AvgDelay_s,0.0395951110303087,0.0403953509003467,0.000800239870038001
15,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
16,Confidence-heuristic,TimelyRate,0.613976705490849,0.612312811980033,-0.00166389351081608
16,Confidence-heuristic,EmergencyTimelyRate,0.575091575091575,0.573260073260073,-0.00183150183150205
16,Confidence-heuristic,LossRate,0.32279534109817,0.314475873544093,-0.00831946755407698
16,Confidence-heuristic,AvgDelay_s,0.0406965537492672,0.0411638543238165,0.000467300574549301
16,Confidence-heuristic,AvgTxCost,3.32768718801997,3.32149750415973,-0.00618968386023999
16,Link-delay-aware,TimelyRate,0.618968386023295,0.612312811980033,-0.006655574043262
16,Link-delay-aware,EmergencyTimelyRate,0.580586080586081,0.573260073260073,-0.00732600732600797
16,Link-delay-aware,LossRate,0.342762063227953,0.314475873544093,-0.02828618968386
16,Link-delay-aware,AvgDelay_s,0.039970560982285,0.0411638543238165,0.0011932933415315
16,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
17,Confidence-heuristic,TimelyRate,0.627287853577371,0.618968386023295,-0.00831946755407609
17,Confidence-heuristic,EmergencyTimelyRate,0.58974358974359,0.580586080586081,-0.00915750915750901
17,Confidence-heuristic,LossRate,0.321131447587354,0.32279534109817,0.00166389351081597
17,Confidence-heuristic,AvgDelay_s,0.0401124790357398,0.040567733303316,0.000455254267576199
17,Confidence-heuristic,AvgTxCost,3.3367221297837,3.32149750415973,-0.0152246256239703
17,Link-delay-aware,TimelyRate,0.630615640599002,0.618968386023295,-0.011647254575707
17,Link-delay-aware,EmergencyTimelyRate,0.593406593406593,0.580586080586081,-0.012820512820512
17,Link-delay-aware,LossRate,0.346089850249584,0.32279534109817,-0.023294509151414
17,Link-delay-aware,AvgDelay_s,0.0396805718587746,0.040567733303316,0.000887161444541401
17,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
18,Confidence-heuristic,TimelyRate,0.628951747088186,0.618968386023295,-0.00998336106489106
18,Confidence-heuristic,EmergencyTimelyRate,0.591575091575092,0.580586080586081,-0.0109890109890111
18,Confidence-heuristic,LossRate,0.324459234608985,0.316139767054909,-0.00831946755407603
18,Confidence-heuristic,AvgDelay_s,0.0400696806587152,0.0405612395978921,0.000491558939176906
18,Confidence-heuristic,AvgTxCost,3.3846921797005,3.32149750415973,-0.0631946755407702
18,Link-delay-aware,TimelyRate,0.62396006655574,0.618968386023295,-0.00499168053244503
18,Link-delay-aware,EmergencyTimelyRate,0.586080586080586,0.580586080586081,-0.00549450549450503
18,Link-delay-aware,LossRate,0.346089850249584,0.316139767054909,-0.029950083194675
18,Link-delay-aware,AvgDelay_s,0.0396741875086426,0.0405612395978921,0.000887052089249503
18,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
19,Confidence-heuristic,TimelyRate,0.628951747088186,0.625623960066556,-0.00332778702163006
19,Confidence-heuristic,EmergencyTimelyRate,0.591575091575092,0.587912087912088,-0.00366300366300398
19,Confidence-heuristic,LossRate,0.324459234608985,0.302828618968386,-0.021630615640599
19,Confidence-heuristic,AvgDelay_s,0.0401991039959058,0.0408999642573783,0.000700860261472501
19,Confidence-heuristic,AvgTxCost,3.34011647254576,3.32149750415973,-0.0186189683860301
19,Link-delay-aware,TimelyRate,0.637271214642263,0.625623960066556,-0.011647254575707
19,Link-delay-aware,EmergencyTimelyRate,0.600732600732601,0.587912087912088,-0.012820512820513
19,Link-delay-aware,LossRate,0.331114808652246,0.302828618968386,-0.02828618968386
19,Link-delay-aware,AvgDelay_s,0.0395447322133184,0.0408999642573783,0.00135523204405991
19,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
20,Confidence-heuristic,TimelyRate,0.62396006655574,0.608985024958403,-0.014975041597337
20,Confidence-heuristic,EmergencyTimelyRate,0.586080586080586,0.56959706959707,-0.016483516483516
20,Confidence-heuristic,LossRate,0.307820299500832,0.309484193011647,0.00166389351081497
20,Confidence-heuristic,AvgDelay_s,0.0404492811834284,0.04094976414272,0.000500482959291601
20,Confidence-heuristic,AvgTxCost,3.38,3.32149750415973,-0.05850249584027
20,Link-delay-aware,TimelyRate,0.62063227953411,0.608985024958403,-0.011647254575707
20,Link-delay-aware,EmergencyTimelyRate,0.582417582417582,0.56959706959707,-0.012820512820512
20,Link-delay-aware,LossRate,0.339434276206323,0.309484193011647,-0.029950083194676
20,Link-delay-aware,AvgDelay_s,0.039764170867611,0.04094976414272,0.001185593275109
20,Link-delay-aware,AvgTxCost,2.84199667221298,3.32149750415973,0.47950083194675
21,Confidence-heuristic,TimelyRate,0.62396006655574,0.62063227953411,-0.00332778702162995
21,Confidence-heuristic,EmergencyTimelyRate,0.586080586080586,0.582417582417582,-0.00366300366300398
