Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Normal,1,0,0,0,0,0,2.308,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Coop_1,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,LinkDeg_Emerg,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,PosDeg_Emerg,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Recovery,1,0,0,0,0,0,2.55,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Link-delay-aware,Full,1,0,0,0,0,0,2.49966722129784,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,Normal,1,0,0,0,0,0,2.644,4.6811112914356e-16,2.90138283768708e-16,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,Coop_1,1,0,0,0,0,0,3.1508,0.00252982212813471,0.001568,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,LinkDeg_Emerg,1,0,0,0,0,0,3.11215384615384,0.0433944342407746,0.0268961489951485,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,PosDeg_Emerg,1,0,0,0,0,0,3.45327272727273,0.0643954723525197,0.0399127272727272,1,0,0
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Confidence-driven,Recovery,1,0,0,0,0,0,3.19529801324504,0.0319092612903906,0.0197775650496912,1,0,0
