Scene,SceneRole,GeometryType,Config,Stage,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10013,HeldOutHighNLOS,ShortHighNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0420936421048725,0.000749147174434635,0.0120674774545689,0.000221077232603464,-0.0300261646503036,-71.3318286298346,-0.0301118126630026,-0.0299405166376046,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-56.570494447448,Meaningful,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.59,8.97195690676443e-16,3.15,8.97195690676443e-16,-1.44,-31.3725490196079,-1.44,-1.44,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-Inf,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,0.614727272727273,0.0271108367643347,0.620545454545455,0.0292025917425094,0.00581818181818184,0.581818181818172,0.00143473609543875,0.0102016275409249,0.129903735381393,p = 0.1299,0.259807470762786,p = 0.2598,n.s.,n.s.,0.245847176079734,0.214180071304186,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0.363454545454545,0.024468718089674,0.228,0.03498499786906,-0.135454545454545,-13.5454545454545,-0.141172609681993,-0.129736481227098,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.82253928450687,Meaningful,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0472181273113264,0.0011825383386147,0.0361050542017303,0.00208359073415084,-0.0111130731095961,-23.5356074931214,-0.0115052544726263,-0.010720891746566,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.57250957108482,Meaningful,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,3.51490909090909,1.34579353601466e-15,3.8203090909091,0.0250325205921904,0.305400000000006,8.68870266914971,0.301360645349011,0.309439354651001,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,12.2001297821876,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10013,HeldOutHighNLOS,ShortHighNLOS,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,0.614727272727273,0.0271108367643347,0.620545454545455,0.0292025917425094,0.00581818181818184,0.581818181818172,0.00143473609543875,0.0102016275409249,0.129903735381393,p = 0.1299,0.259807470762786,p = 0.2598,n.s.,n.s.,0.245847176079734,0.214180071304186,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0420936421048725,0.000749147174434635,0.0120674774545689,0.000221077232603464,-0.0300261646503036,-71.3318286298346,-0.0301118126630026,-0.0299405166376046,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-56.570494447448,Meaningful,8.90029543402881e-306,p < 1e-15,***
10007,HeldOutLongMixed,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.67345454545455,8.97195690676443e-16,3.09847272727273,0.0165923411586181,-1.57498181818182,-33.7005913476502,-1.57765922935914,-1.5723044070045,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-94.922217613864,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10007,HeldOutLongMixed,LongMixed,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0420936421048725,0.000749147174434635,0.0120674774545689,0.000221077232603464,-0.0300261646503036,-71.3318286298346,-0.0301118126630026,-0.0299405166376046,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-56.570494447448,Meaningful,8.90029543402881e-306,p < 1e-15,***
10007,HeldOutLongMixed,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgTxCost,4.67345454545455,8.97195690676443e-16,3.11329090909091,0.0295818328918376,-1.56016363636364,-33.3835200746966,-1.56493708751637,-1.55539018521091,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-52.7406006946287,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10007,HeldOutLongMixed,LongMixed,ForestGeometry,PosDeg_Emerg,DCC-like,Risk-constrained-v6,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10015,HeldOutBoundary,LongLowNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10015,HeldOutBoundary,LongLowNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10015,HeldOutBoundary,LongLowNLOS,Default,PosDeg_Emerg,DCC-like,Risk-constrained-v6,AvgDelay,0.0120674774545689,0.000221077232603464,0.0120674774545689,0.000221077232603464,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
