Config,Profile,Vegetation,Variant,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_Blind_Medium_Plus,Blind,Medium,Plus,Oracle,Full,0.835440931780366,0.0063939136048606,0.00396298871012468,0.161730449251248,0.00626512312654151,0.00388316354464823,0.0192887320091736,0.000464035796575873,0.000287612366473943,2.26539434276207,0.0168479856966371,0.0104424897223132,0.975700934579439,0.00788106581973428,0.00488473520249221
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,Normal,0.3224,0.0136235090927411,0.0084439384175869,0.6776,0.0136235090927411,0.00844393841758689,0.0166073947933978,0.00169178462970903,0.00104857897710764,1,0,0,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,Coop_1,0.875333333333333,0.00548848401565711,0.00340179763661713,0.124666666666667,0.00548848401565711,0.00340179763661713,0.0122646271368364,0.000325007056430149,0.000201441460573444,1.038,0,0,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,LinkDeg_Emerg,0.984615384615385,0,0,0.0153846153846153,0,0,0.0120269948069546,0.000197166559869448,0.000122205099891052,1.41538461538462,0,0,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,PosDeg_Emerg,0.918181818181818,0.0191653191525356,0.0118787878787879,0.0790909090909091,0.020574842662749,0.0127524196015225,0.0231614482533812,0.000608126787110628,0.000376920887672262,2.50136363636364,0,0,0.847169811320755,0.0411937682863215,0.0255321621052375
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,Recovery,0.970198675496689,0.0104711180800277,0.00649006622516556,0.0264900662251656,0.0120910056844407,0.00749408296431566,0.0160417068907468,0.000507674225718856,0.000314659745076268,2.12119205298013,4.6811112914356e-16,2.90138283768708e-16,0.92037037037037,0.0247683983305418,0.0153516123328895
FG_Curved_Dense_Base,Curved,Dense,Base,Link-delay-aware,Full,0.803826955074875,0.00446813844950035,0.00276938090267329,0.194841930116473,0.00467011301941672,0.00289456603806555,0.01603136768914,0.000242997946958039,0.000150611687909909,1.61089850249584,4.6811112914356e-16,2.90138283768708e-16,0.88411214953271,0.0302678076049623,0.0187601815150436
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,Normal,0.3736,0.0261414953240586,0.0162026666666667,0.6264,0.0261414953240586,0.0162026666666666,0.0251942650557376,0.00328299365030886,0.00203482054585388,1.565424,0.149095013643426,0.0924100468538725,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,Coop_1,0.881333333333333,0.00525873758497747,0.00325939932358977,0.118666666666667,0.00525873758497747,0.00325939932358977,0.0134770560545964,0.000721821623758837,0.000447389677506051,1.26859333333333,0.0475602640452026,0.0294781570583633,NaN,NaN,NaN
FG_Curved_Dense_Base,Curved,Dense,Base,Confidence-driven,LinkDeg_Emerg,0.984615384615385,0,0,0.0153846153846153,0,0,0.0123289047658458,0.000217539331261101,0.00013483227442117,1.68833846153846,0.126847349592411,0.0786208018140593,NaN,NaN,NaN
