Config,Profile,Vegetation,Method,Stage,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgDelayMean,AvgDelayStd,AvgDelayCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
FG_curved_dense,curved,dense,Confidence-driven,Coop_1,0.886,0.00583730023847277,0.00361799617140433,0.114,0.00583730023847277,0.00361799617140432,0.0137185356232761,0.000833334205660401,0.000516505891834753,1.26798666666667,0.0462032952702187,0.0286370990979985,NaN,NaN,NaN
FG_curved_dense,curved,dense,Confidence-driven,LinkDeg_Emerg,0.987692307692308,0.00648672340547344,0.00402051282051272,0.0123076923076922,0.00648672340547356,0.0040205128205128,0.012537566065717,0.000459844475665658,0.000285014558859673,1.69152307692308,0.125686950267144,0.0779015788608789,NaN,NaN,NaN
FG_curved_dense,curved,dense,Confidence-driven,PosDeg_Emerg,0.985454545454546,0.010670798097975,0.00661382918251317,0.0136363636363636,0.00981930408849675,0.00608606772766084,0.0201856162881817,0.000934369018223,0.000579127917445291,2.77604545454545,0.0541188748689384,0.0335432261623324,0.971698113207547,0.0203796877308424,0.0126314613215603
FG_curved_dense,curved,dense,Confidence-driven,Recovery,0.99271523178808,0.00488652177067972,0.00302869757174399,0.00596026490066224,0.00579864262099939,0.00359403593185857,0.015215069054297,0.000435733000296902,0.000270070111596859,2.39390728476821,0.0987041061586961,0.0611774388150164,0.983333333333334,0.0105119668925471,0.00651538458147133
FG_curved_dense,curved,dense,Confidence-driven,Full,0.851580698835275,0.0040605668813585,0.00251676542756176,0.147920133111481,0.00425659098266221,0.00263826242429759,0.0176295369788841,0.000288795732480702,0.000178997449462435,1.95206322795341,0.052334857922306,0.0324374810029357,0.977570093457944,0.0109699793530587,0.00679926364557441
FG_curved_dense,curved,dense,Oracle,Normal,0.52,0.0339411254969543,0.021036927532318,0.48,0.0339411254969543,0.021036927532318,0.0416502670928909,0.00306058280677536,0.00189696887684439,2.1688,0.143385826046758,0.0888714557205206,NaN,NaN,NaN
FG_curved_dense,curved,dense,Oracle,Coop_1,0.906666666666667,0.0094280904158207,0.00584359098119949,0.0933333333333334,0.00942809041582067,0.00584359098119947,0.0152469829110438,0.000878073598442423,0.000544235654770274,1.37906666666667,0.0480996393816226,0.0298124653554174,NaN,NaN,NaN
FG_curved_dense,curved,dense,Oracle,LinkDeg_Emerg,0.990769230769231,0.00794458122298937,0.00492410245728709,0.00923076923076918,0.00794458122298953,0.00492410245728718,0.0132899975432093,0.000802299901916103,0.000497270631090577,1.68361538461538,0.101274099006211,0.0627703368848402,NaN,NaN,NaN
FG_curved_dense,curved,dense,Oracle,PosDeg_Emerg,0.985454545454546,0.00878265257344804,0.00544354446188687,0.0136363636363636,0.00772578714180725,0.00478849248080763,0.0199387493991757,0.000519048275738726,0.000321709454315828,2.68712727272727,0.0278790579697063,0.0172796191520117,0.969811320754717,0.0182281468505529,0.0112979224680673
FG_curved_dense,curved,dense,Oracle,Recovery,0.99271523178808,0.00579864262099945,0.00359403593185861,0.00596026490066226,0.0065856220265679,0.00408181082093398,0.0152734350749836,0.000338671163543789,0.00020991056190508,2.33884105960265,0.0779794708207821,0.048332176751549,0.97962962962963,0.0162147228846467,0.0100499893650121
