Scene,SceneRole,GeometryType,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,LossRate,0.375607321131448,0.00862824715946433,0.31414309484193,0.00799743467614016,-0.0614642262895174,-6.14642262895173,-0.0632306170991401,-0.0596978354798947,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.61491292869612,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,AvgDelay,0.056754695992424,0.00023101803181983,0.0408994908368847,0.00027826617795059,-0.0158552051555393,-27.9363757981467,-0.0159051947315374,-0.0158052155795411,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-51.1799451416852,Meaningful,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,AvgTxCost,3.77895174708817,1.34579353601466e-15,3.32302396006655,0.00356936451763775,-0.455927787021617,-12.0649274596567,-0.456503754955502,-0.455351819087733,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-127.733602093225,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10019,DenseBlind,ShortRangeOccluded,ForestGeometry,DCC-like,Risk-constrained-v6,EmgTimely,0.573003663003663,0.00855064763745016,0.57945054945055,0.0085896284277451,0.00644688644688645,0.644688644688651,0.00489650352637356,0.00799726936739935,2.0912965981168e-06,p = 2.091e-06,4.1825931962336e-06,p = 4.183e-06,***,***,0.659591836734694,0.670993709463459,Below1pp,0.000244681701979665,p = 2.447e-04,***
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,TimelyRate,0.894242928452579,0.00955633050540218,0.979001663893511,0.00590805337449913,0.0847587354409318,8.47587354409319,0.0830379078494121,0.0864795630324515,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.94793874090828,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,LossRate,0.105557404326123,0.0095858469224897,0.020865224625624,0.00592066355386478,-0.0846921797004992,-8.46921797004992,-0.0864467372783005,-0.082937622122698,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-7.78902484299407,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,AvgDelay,0.0698424433766783,0.00297365820418429,0.0297007229405134,0.00138962390385255,-0.0401417204361649,-57.4746794290547,-0.0406317733685753,-0.0396516675037545,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.2178370338989,Meaningful,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,AvgTxCost,4.72756489184693,0.000864213895838713,2.86951680532446,0.0312860646686082,-1.85804808652247,-39.3024343193433,-1.86308986937806,-1.85300630366688,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-59.4675731704405,SeeDelta,8.90029543402881e-306,p < 1e-15,***
10017,LongRange,LongMixed,Default,DCC-like,Risk-constrained-v6,EmgTimely,0.993333333333333,0.0119838641829695,0.981111111111111,0.0283056420636937,-0.0122222222222223,-1.2222222222222,-0.0171122983502222,-0.00733214609422236,0.00434666396861938,p = 0.004347,0.00434666396861938,p = 0.004347,**,**,-0.62,-0.403312756676772,Meaningful,0.430319732893319,p = 0.4303,n.s.
10017,LongRange,LongMixed,ForestGeometry,DCC-like,Risk-constrained-v6,TimelyRate,0.521231281198003,0.00286838868948693,0.53261231281198,0.00568741911766354,0.0113810316139766,1.13810316139766,0.0104990739047825,0.0122629893231706,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.08229028208924,Meaningful,8.90029543402881e-306,p < 1e-15,***
