Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Candidate,TimelyRate,EmergencyTimely,AvgDelay,AvgTxCost,TimelyGainVsHeuristic_pp,EmergencyGainVsHeuristic_pp,TimelyGainVsLink_pp,CostDeltaVsProposedPct,TimelyDeltaVsProposed_pp
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,EmergencyFloorHigh,0.665557404326123,0.631868131868132,0.03982687328879,3.90582362728785,0.332778702163061,0.366300366300365,0.0332778702163083,17.7260034343856,0.0332778702163083
10017,LongRange,LongMixed,Medium,Mixed,Default,Proposed,0.963394342762063,1,0.0233823341014271,2.28931780366057,0.732113144758739,0,5.62396006655575,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,TimelyLow,0.963394342762063,1,0.0233823341014271,2.28931780366057,0.732113144758739,0,5.62396006655575,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,TimelyHigh,0.963394342762063,1,0.0233823341014271,2.28931780366057,0.732113144758739,0,5.62396006655575,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,ProtectLow,0.963394342762063,1,0.0233823341014271,2.27863560732113,0.732113144758739,0,5.62396006655575,-0.466610460214547,0
10017,LongRange,LongMixed,Medium,Mixed,Default,ProtectHigh,0.963394342762063,1,0.0233823341014271,2.29613976705491,0.732113144758739,0,5.62396006655575,0.297991103875345,0
10017,LongRange,LongMixed,Medium,Mixed,Default,EmergencyFloorLow,0.963394342762063,1,0.0233823341014271,2.28931780366057,0.732113144758739,0,5.62396006655575,0,0
10017,LongRange,LongMixed,Medium,Mixed,Default,EmergencyFloorHigh,0.963394342762063,1,0.0233823341014271,2.32525790349418,0.732113144758739,0,5.62396006655575,1.56990435212374,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Proposed,0.531780366056572,0.0333333333333333,0.125256755692112,2.99221963394343,0.665557404326123,0,0.931780366056567,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,TimelyLow,0.531780366056572,0.0333333333333333,0.125256755692112,2.99221963394343,0.665557404326123,0,0.931780366056567,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,TimelyHigh,0.531780366056572,0.0333333333333333,0.125256755692112,2.99221963394343,0.665557404326123,0,0.931780366056567,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,ProtectLow,0.531780366056572,0.0333333333333333,0.125256755692112,2.97721131447587,0.665557404326123,0,0.931780366056567,-0.501578136086713,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,ProtectHigh,0.531780366056572,0.0333333333333333,0.125256755692112,3.00752745424293,0.665557404326123,0,0.931780366056567,0.511587455875594,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,EmergencyFloorLow,0.531780366056572,0.0333333333333333,0.125256755692112,2.99221963394343,0.665557404326123,0,0.931780366056567,0,0
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,EmergencyFloorHigh,0.531780366056572,0.0333333333333333,0.125256755692112,3.02815973377704,0.665557404326123,0,0.931780366056567,1.20111837466442,0
