Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,TimelyRateMean,TimelyRateCI95,EmergencyTimelyRateMean,EmergencyTimelyRateCI95,LossRateMean,LossRateCI95,AvgDelayMean,AvgDelayCI95,AvgTxCostMean,AvgTxCostCI95
10017,LongRange,LongMixed,Medium,Mixed,Default,Constrained Oracle,0.988985024958402,0.00122871414734004,0.972777777777778,0.00989827270129167,0.0108818635607321,0.00119765496876365,0.0291866300799983,0.000270859843713171,3.22048252911813,0.00744957819935062
10017,LongRange,LongMixed,Medium,Mixed,Default,DCC-like,0.894242928452579,0.00264887967262286,0.993333333333333,0.00332175767840977,0.105557404326123,0.002657061206025,0.0698424433766783,0.000824256001395012,4.72756489184693,0.000239547870408134
10017,LongRange,LongMixed,Medium,Mixed,Default,AoI-aware,0.948585690515807,0.00236872057856116,0.942222222222222,0.00956887959952067,0.0512811980033278,0.00235113501498844,0.0320747984653524,0.000402874019027007,3.32896505823627,0.000596339434275412
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Link-delay-aware,0.523560732113145,0.00110489665587527,0.0244444444444445,0.00756326404160023,0.475740432612313,0.0011057999429647,0.127452553763141,0.0002103727656689,2.17920133111481,1.24344978758018e-16
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Confidence-heuristic,0.526422628951747,0.00139732885451617,0.0244444444444445,0.00756326404160023,0.472845257903494,0.00140908483931418,0.12704047435305,0.000245855065255057,2.6790149750416,0.021556321004055
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Risk-constrained-v6,0.53261231281198,0.00157647214921556,0.0244444444444445,0.00756326404160023,0.466688851913478,0.00158468421311766,0.124828476532242,0.000372473050238985,3.00379567387687,0.0240523693085301
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Constrained Oracle,0.538702163061564,0.00176192744021224,0.0227777777777778,0.00707564070300526,0.461131447587354,0.00179233954053596,0.124989754724939,0.000400868780605126,3.76398835274542,0.0127733750406605
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,DCC-like,0.521231281198003,0.000795076780618681,0.0216666666666667,0.00588032920889114,0.478402662229617,0.000791958498641643,0.143173836327426,0.000185739923562716,4.03926788685524,2.48689957516035e-16
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,AoI-aware,0.537404326123128,0.0017469080328636,0.0305555555555556,0.00717075680011669,0.46063227953411,0.00170380823617006,0.12483136524278,0.000383487357790929,4.09943427620632,2.48689957516035e-16
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,Link-delay-aware,0.992212978369384,0.000886122638224609,0.999743119266055,0.000178268566620592,0.00778702163061564,0.000886122638224625,0.0134339045900582,0.000151248064714972,2.49875207986689,0
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,Confidence-heuristic,0.992445923460898,0.000884995161725666,1,0,0.00755407653910149,0.000884995161725679,0.0134169495414515,0.000150160768070882,2.96757071547421,0.00276102733015313
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,Risk-constrained-v6,0.992445923460898,0.000884995161725666,1,0,0.00755407653910149,0.000884995161725679,0.0134169495414515,0.000150160768070882,3.04284525790349,1.24344978758018e-16
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,Constrained Oracle,0.996372712146423,0.00076092861062269,0.999743119266055,0.000178268566620592,0.00362728785357737,0.000760928610622668,0.0127943874290937,0.00013150649733065,2.53843261231282,0.00182434505470913
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,DCC-like,0.999900166389351,0.000110642788165389,1,0,9.98336106489186e-05,0.000110642788165412,0.0405086933988796,9.32256407268726e-05,4.60470881863561,2.48689957516035e-16
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,AoI-aware,0.986921797004992,0.00112976208017475,0.993504587155963,0.000823365867995359,0.0130782029950083,0.00112976208017475,0.0142747345373605,0.000158484948939077,1.68682196339434,6.21724893790088e-17
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Link-delay-aware,0.558702163061564,0.00236328966181512,0.614605504587156,0.00247238331765561,0.405357737104825,0.00252594985016787,0.0565947849287374,9.0197141517182e-05,2.97149750415973,2.48689957516035e-16
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Confidence-heuristic,0.557404326123128,0.00271818076594221,0.61302752293578,0.00280882373665633,0.4030615640599,0.00307425395831715,0.0566720526145787,0.000106207496443142,3.27678569051581,0.0137867414348869
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Risk-constrained-v6,0.552811980033278,0.00204474313087922,0.607669724770642,0.00212250028440156,0.382196339434276,0.00266536421118706,0.057497941826116,9.75031370301029e-05,3.48163627287853,0.0151565967689659
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Constrained Oracle,0.548818635607321,0.00231329371681249,0.600110091743119,0.00231000776639777,0.376738768718802,0.00258741499359278,0.0576326638626575,0.000137192727298995,3.47066855241265,0.0080475672993835
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,DCC-like,0.544093178036606,0.00214309484193013,0.599155963302752,0.00232776470991708,0.445291181364393,0.00206445607804472,0.0708309831007585,8.21714327466118e-05,3.4012479201331,3.73034936274053e-16
