Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Seed,SafetyViolationRate,MeanSafetyViolation,MaxSafetyViolation,BudgetViolationRate,MeanBudgetViolation,MaxBudgetViolation,MeanFeasibleSequenceRatio,NoFeasibleSequenceRate,MeanAoIAge
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,7,0.24459234608985,0.160698904732885,3.27454107485829,0.0482529118136439,0.0537080860867458,1.87692307692308,0.0145796101148292,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,8,0.232945091514143,0.162076279093354,3.45454107485829,0.0399334442595674,0.0469528418266337,1.87692307692308,0.0149253302109653,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,9,0.211314475873544,0.156468627485294,3.27454107485829,0.0482529118136439,0.0551644694739537,1.87692307692308,0.0149758632731456,0.0532445923460899,17.9703826955075
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,10,0.282861896838602,0.167593374833674,3.45454107485829,0.0482529118136439,0.0475345237479269,1.87692307692308,0.0141418623282184,0.0532445923460899,17.9703826955075
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,1,0.121464226289517,0.0335928145808162,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00618228877796265,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,2,0.113144758735441,0.0333876226861965,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.0062227563114973,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,3,0.124792013311148,0.0337816740459371,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00624288736878864,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,4,0.116472545757072,0.0337712831986573,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00626178591236827,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,5,0.124792013311148,0.0338452714059779,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00621618290503482,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,6,0.101497504159734,0.0327473664651891,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00629752881000801,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,7,0.10981697171381,0.0332659446780643,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00625870462808899,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,8,0.10981697171381,0.0335238264631392,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00619112179289661,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,9,0.0965058236272879,0.0327821586596118,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00631683819149155,0.0698835274542429,50.0249584026625
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,10,0.136439267886855,0.034037146215843,1.27567457601602,0.349417637271215,0.155053634014232,0.859574468085107,0.00606992461124463,0.0698835274542429,50.0249584026625
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,1,0.658901830282862,1.51262218847211,3.45454107485829,0.341098169717138,0.248820432939101,1.87692307692308,0.00824798175879706,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,2,0.652246256239601,1.51617441298187,3.44868214971657,0.339434276206323,0.243515036314272,1.87692307692308,0.00863170436104434,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,3,0.658901830282862,1.52636766977769,3.45454107485829,0.327787021630616,0.225127242920283,1.87692307692308,0.00826359359914545,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,4,0.632279534109817,1.5294731248397,3.45454107485829,0.301164725457571,0.218609464313433,1.87692307692308,0.00851502639633532,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,5,0.6738768718802,1.52457877143341,3.45454107485829,0.321131447587354,0.228845541119411,1.87692307692308,0.00811569195373965,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,6,0.660565723793677,1.53102452417422,3.6279749487574,0.319467554076539,0.217044151727481,1.87692307692308,0.00849037612210102,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,7,0.682196339434276,1.52066216767729,3.45454107485829,0.327787021630616,0.237800065902165,1.87692307692308,0.00826934532980012,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,8,0.665557404326123,1.53330171889839,3.45454107485829,0.29450915141431,0.208392450117235,1.87692307692308,0.00833097101538587,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,9,0.628951747088186,1.52868011884717,3.45454107485829,0.309484193011647,0.220981942262078,1.87692307692308,0.00854542840122429,0.487520798668885,17.4442595673877
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,10,0.718801996672213,1.52111740590128,3.44868214971657,0.331114808652246,0.24170082050919,1.87692307692308,0.00786179412912635,0.487520798668885,17.4442595673877
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,1,0.349417637271215,0.595503158938346,3.48588657726942,0.414309484193012,0.330256809663472,1.87692307692308,0.00293173928226617,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,2,0.306156405990017,0.612985079826666,3.48588657726942,0.409317803660566,0.295327028148213,1.87692307692308,0.0030812842792876,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,3,0.339434276206323,0.594365206869811,3.48588657726942,0.414309484193012,0.331354815986812,1.87692307692308,0.00299665167108317,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,4,0.3261231281198,0.595957521544155,3.48588657726942,0.414309484193012,0.326962790693452,1.87692307692308,0.00303034037920338,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,5,0.317803660565724,0.598409542996777,3.48588657726942,0.410981697171381,0.321407401557506,1.87692307692308,0.00304102216470491,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,6,0.319467554076539,0.597200657453765,3.48588657726942,0.414309484193012,0.325254780857146,1.87692307692308,0.00303362708243462,0.302828618968386,48.5118136439271
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,7,0.331114808652246,0.594621324544433,3.48588657726942,0.414309484193012,0.330256809663472,1.87692307692308,0.00301637189047061,0.302828618968386,48.5118136439271
